Path,      Total Latency (s),    Total Noise Power (W)  ,  SNR (dB)  
E->A->C->D->F->B,0.013896502612246396,2.777377783819179e-06,25.563650427311938
E->A->C->D->B,0.013743291988365913,2.746756857469283e-06,25.61179782564482
E->A->D->C->B,0.010352512002576203,2.0690700131512155e-06,26.842248134373182
E->A->D->F->B,0.01000744106584982,2.0001035702808386e-06,26.989475149175938
E->A->D->B,0.009854230441969336,1.9694826439309428e-06,27.05647842058816
E->A->B,0.006039868525932336,1.2071380209240616e-06,29.18243070997275
E->B,0.004600815661492972,9.195265573092493e-07,30.364357231672802
E->F->B,0.004607171880936813,9.207969217430205e-07,30.358361412377942
E->F->D->A->C->B,0.017649628178329182,3.527483609578245e-06,24.525349955144403
E->F->D->A->B,0.015532064641149595,3.1042638910567504e-06,25.08041366808717
E->F->D->C->B,0.011990599407283673,2.3964608461352774e-06,26.204296622058063
E->F->D->C->A->B,0.01942112618754617,3.881538104595091e-06,24.109961460626785
E->F->D->B,0.011492317846676807,2.2968734769150047e-06,26.38862927221617
E->A->C,0.006280388507008117,1.2552087384739425e-06,29.012840459525066
E->A->D->C,0.008475468446472397,1.6939210121796015e-06,27.71106844757569
E->A->D->F->B->C,0.011884484621953625,2.3752525712524526e-06,26.242902031047606
E->A->D->B->C,0.011731273998073142,2.3446316449025568e-06,26.299253777471947
E->A->B->D->C,0.013502772007290132,2.6986861399194025e-06,25.688476214187155
E->A->B->C,0.007916912082036142,1.5822870218956756e-06,28.007147340374253
E->A->B->F->D->C,0.013655982631170615,2.7293070662692983e-06,25.63947600393042
E->B->A->C,0.013908385997859273,2.779752816740677e-06,25.559938210237743
E->B->A->D->C,0.016103465937323556,3.2184650904463355e-06,24.92351197148262
E->B->D->A->C,0.017722747913896275,3.5420974397475583e-06,24.50739495951529
E->B->D->C,0.012063719142850768,2.4110746763045902e-06,26.177893383555325
E->B->C,0.006477859217596778,1.2946755582808633e-06,28.878390508119235
E->B->F->D->A->C,0.017875958537776758,3.572718366097454e-06,24.470012174584994
E->B->F->D->C,0.012216929766731251,2.441695602654486e-06,26.123084789363652
E->F->B->A->C,0.013914742217303117,2.781023181174448e-06,25.557953910660135
E->F->B->A->D->C,0.016109822156767397,3.219735454880107e-06,24.921798100450275
E->F->B->D->A->C,0.017729104133340116,3.543367804181329e-06,24.50583765240697
E->F->B->D->C,0.012070075362294609,2.4123450407383612e-06,26.17560574404347
